RT_audience_perc,RT_audience_rating,RT_consensus,RT_perc,RT_rating,awards,imdb_id,imdb_rating,metascore,plot,poster,release_date,release_year,Title
Jonah Hex,20,2.4,"Josh Brolin gives it his best shot, but he can't keep the short, unfocused Jonah Hex from collapsing on the screen.",12,3.5,1 win & 4 nominations.,tt1075747,4.7,33,"The U.S. military makes a scarred bounty hunter with warrants on his own head an offer he cannot refuse: in exchange for his freedom, he must stop a terrorist who is ready to unleash Hell on Earth.",http://ia.media-imdb.com/images/M/MV5BMTQ2NzYxNjQyMF5BMl5BanBnXkFtZTcwOTQ0OTI0Mw@@._V1_SX300.jpg,18 Jun 2010,2010,Jonah Hex
Man of Steel,75,3.9,Man of Steel's exhilarating action and spectacle can't fully overcome its detours into generic blockbuster territory.,56,6.2,7 wins & 42 nominations.,tt0770828,7.2,55,"A young boy learns that he has extraordinary powers and is not of this Earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",http://ia.media-imdb.com/images/M/MV5BMjI5OTYzNjI0Ml5BMl5BanBnXkFtZTcwMzM1NDA1OQ@@._V1_SX300.jpg,14 Jun 2013,2013,Man of Steel
Red,72,3.7,"It may not be the killer thrill ride you'd expect from an action movie with a cast of this caliber, but Red still thoroughly outshines most of its big-budget counterparts with its wit and style.",71,6.3,Nominated for 1 Golden Globe. Another 3 wins & 17 nominations.,tt1245526,7.1,60,"Frank (Bruce Willis) is retired, bored and lonely living off his government pension in a nondescript suburb in an equally nondescript house. The only joy in Frank's life are his calls to the government pension processing center when he gets to talk to his case worker Sarah (Mary-Louis Parker). Sarah is as bored and lonely as Frank and marks her conversations with the unknown Frank and her spy novels as the only things fun in her life. When something in Frank's past forces Frank back into his old line of work and puts an unwitting Sarah in the middle of the intrigue, Frank and Sarah begin a journey into Frank's past and the people he used to work with. Like Frank they are all RED ... Retired Extremely Dangerous.",http://ia.media-imdb.com/images/M/MV5BMzg2Mjg1OTk0NF5BMl5BanBnXkFtZTcwMjQ4MTA3Mw@@._V1_SX300.jpg,15 Oct 2010,2010,Red
Red 2,63,3.6,"While it's still hard to argue with its impeccable cast or the fun they often seem to be having, Red 2 replaces much of the goofy fun of its predecessor with empty, over-the-top bombast.",43,5.4,3 nominations.,tt1821694,6.7,47,"Retired CIA agent Frank Moses is in love with Sarah Ross and enjoying their normal life. Out of the blue, Marvin Boggs meets Frank in the supermarket and tells that Wikileaks has released the information that they had participated and know the whereabouts of the Nightshade, a portable nuclear weapon that was smuggled in pieces and hidden in Russia. Now the top agents in the world are under contract to seek them out to discover where Nightshade is. The trio travels to Paris and teams-up with the Russian Katja to track down the former Russian Agent 'The Frog' to get more information about the operation. They learn that the brilliant inventor Dr. Edward Bailey might know where the weapon is. They discover that Bailey has been interned in an asylum in London by the MI-6 for thirty-two years and the British Victoria joins the team. They rescue Bailey and find that the nuclear device is hidden in the Kremlin. Soon the dangerous South Korean Han joins the group expecting to retrieve the weapon. But dangerous killer Jack Horton is hunting Frank down and will not stop until he recovers the nuclear bomb.",http://ia.media-imdb.com/images/M/MV5BMjI2ODQ4ODY3Nl5BMl5BanBnXkFtZTcwNTc2NzE1OQ@@._V1_SX300.jpg,19 Jul 2013,2013,Red 2
Steel,15,1.8,"Steel is a badly-acted movie that indulges not only in superhero cliches, but also the sappy TV-movie-of-the-week ones.",12,3.0,1 nomination.,tt0120207,2.7,N/A,"John Henry Irons designs weapons for the military. When his project to create weapons that harmlessly neutralize soldiers is sabotaged, he leaves in disgust. When he sees gangs are using his weapons on the street, he uses his brains and his Uncle Joe's junkyard know-how to fight back, becoming a real man of ""steel.""",http://ia.media-imdb.com/images/M/MV5BMjA3ODM0OTYxOF5BMl5BanBnXkFtZTcwNjEwMjgxMQ@@._V1_SX300.jpg,15 Aug 1997,1997,Steel
Supergirl,N/A,N/A,N/A,N/A,N/A,2 wins & 4 nominations.,tt4016454,6.4,N/A,The adventures of Superman's cousin in her own superhero career.,http://ia.media-imdb.com/images/M/MV5BMTg5MDI3OTI3M15BMl5BanBnXkFtZTgwNzk0MDI1NjE@._V1_SX300.jpg,26 Oct 2015,2015–,Supergirl
Superman,86,3.5,"Superman deftly blends humor and gravitas, taking advantage of the perfectly cast Christopher Reeve to craft a loving, nostalgic tribute to an American pop culture icon.",93,8.0,Nominated for 3 Oscars. Another 15 wins & 17 nominations.,tt0078346,7.3,86,"Unable to convince the ruling council of Krypton that their world will destroy itself soon, scientist Jor-El takes drastic measures to preserve the Kryptonian race: He sends his infant son Kal-El to Earth. There, gaining great powers under Earth's yellow sun, he will become a champion of truth and justice. Raised by the Kents, an elderly farm couple, Clark Kent learns that his abilities must be used for good. The adult Clark travels to Metropolis, where he becomes a mild-mannered reporter for the Daily Planet...and a caped wonder whose amazing feats stun the city: Superman! Meanwhile, Lex Luthor, the world's greatest criminal mind, is plotting the greatest real estate swindle of all time. Can't even the Man of Steel stop this nefarious scheme?",http://ia.media-imdb.com/images/M/MV5BMTI1MjA5MzM0OF5BMl5BanBnXkFtZTYwNTc0MTQ5._V1_SX300.jpg,15 Dec 1978,1978,Superman
Superman II,75,3.2,"The humor occasionally stumbles into slapstick territory, and the special effects are dated, but Superman II meets, if not exceeds, the standard set by its predecessor.",89,7.5,3 wins & 5 nominations.,tt0081573,6.8,87,"Picking up where ""Superman: The Movie"" left off, three criminals, General Zod (Terence Stamp), Ursa, (Sarah Douglas), and Non (Jack O'Halloran) from the planet Krypton are released from the Phantom Zone by a nuclear explosion in space. They descend upon Earth where they could finally rule. Superman, meanwhile, is in love with Lois Lane (Margot Kidder), who finds out who he really is. Lex Luthor (Gene Hackman) escapes from prison and is determined to destroy Superman by joining forces with the three criminals.",http://ia.media-imdb.com/images/M/MV5BMTY5MTk3MjcyNl5BMl5BanBnXkFtZTYwNjY3NTU5._V1_SX300.jpg,19 Jun 1981,1980,Superman II
Superman III,23,2.7,"When not overusing sight gags, slapstick, and Richard Pryor, Superman III resorts to plot points rehashed from the previous Superman flicks.",26,4.5,2 wins & 6 nominations.,tt0086393,4.9,42,"Wealthy businessman Ross Webster (Robert Vaughn)discovers the hidden talents of Gus Gorman (Richard Pryor), a mischievous computer genius. Ross decides to abuse his talents, in a way to help Webster with his plans for economic control. When the man of steel interferes, something must be done about Supes. When Gus' synthetic Kryptonite fails to kill Superman, it turns him in an evil incarnation of his former self. The tar-laced Kryptonite pits man against himself, setting up the Clark vs. Superman battle.",http://ia.media-imdb.com/images/M/MV5BMTU2MDA2OTY2NV5BMl5BanBnXkFtZTcwMDA5MzMyMQ@@._V1_SX300.jpg,17 Jun 1983,1983,Superman III
Superman IV: The Quest for Peace,16,2.4,"The Superman series bottoms out here: the action is boring, the special effects look cheaper, and none of the actors appear interested in where the plot's going.",12,2.9,2 wins & 5 nominations.,tt0094074,3.7,22,"Superman does a lot in his newest adventure. Archvillain Lex Luthor, determined to make the world safe for nuclear arms merchants, creates a new being to challenge the Man of Steel: the radiation-charged Nuclear Man. The two super-powered foes clash in an explosive screen extranvaganza that sees Superman save the Statue of Liberty, repulse a volcanic eruption of Mount Etna, rebuild the demolished Great Wall of China and perform many more spetactular feats.",http://ia.media-imdb.com/images/M/MV5BMTQyMjI0ODcyNV5BMl5BanBnXkFtZTcwNDQ1OTMyMQ@@._V1_SX300.jpg,24 Jul 1987,1987,Superman IV: The Quest for Peace
Superman Returns,61,3.3,Bryan Singer's reverent and visually decadent adaptation gives the Man of Steel welcome emotional complexity. The result: a satisfying stick-to-your-ribs adaptation.,76,7.0,Nominated for 1 Oscar. Another 12 wins & 38 nominations.,tt0348150,6.1,72,"Following a mysterious absence of several years, the Man of Steel comes back to Earth in the epic action-adventure Superman Returns, a soaring new chapter in the saga of one of the world's most beloved superheroes. While an old enemy plots to render him powerless once and for all, Superman faces the heartbreaking realization that the woman he loves, Lois Lane, has moved on with her life. Or has she? Superman's bittersweet return challenges him to bridge the distance between them while finding a place in a society that has learned to survive without him. In an attempt to protect the world he loves from cataclysmic destruction, Superman embarks on an epic journey of redemption that takes him from the depths of the ocean to the far reaches of outer space.",http://ia.media-imdb.com/images/M/MV5BMTU3NzA5MjI0Nl5BMl5BanBnXkFtZTcwMTEwNzMzMQ@@._V1_SX300.jpg,28 Jun 2006,2006,Superman Returns
The Dark Knight,94,4.4,"Dark, complex and unforgettable, The Dark Knight succeeds not just as an entertaining comic book film, but as a richly thrilling crime saga.",94,8.6,Won 2 Oscars. Another 146 wins & 141 nominations.,tt0468569,9.0,82,"Set within a year after the events of Batman Begins, Batman, Lieutenant James Gordon, and new district attorney Harvey Dent successfully begin to round up the criminals that plague Gotham City until a mysterious and sadistic criminal mastermind known only as the Joker appears in Gotham, creating a new wave of chaos. Batman's struggle against the Joker becomes deeply personal, forcing him to ""confront everything he believes"" and improve his technology to stop him. A love triangle develops between Bruce Wayne, Dent and Rachel Dawes.",http://ia.media-imdb.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_SX300.jpg,18 Jul 2008,2008,The Dark Knight
The Dark Knight Rises,90,4.3,"The Dark Knight Rises is an ambitious, thoughtful, and potent action film that concludes Christopher Nolan's franchise in spectacular fashion.",87,8.0,Nominated for 1 BAFTA Film Award. Another 38 wins & 100 nominations.,tt1345836,8.5,78,"Eight years after the Joker's reign of anarchy, the Dark Knight, with the help of the enigmatic Selina, is forced from his imposed exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane.",http://ia.media-imdb.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_SX300.jpg,20 Jul 2012,2012,The Dark Knight Rises
The Losers,54,3.0,"The Losers is loud, fast, and unrelentingly violent -- but it's also funny and well-acted, which will make all the difference for some action fans.",49,5.3,1 win & 7 nominations.,tt0480255,6.4,44,"A CIA special forces team are betrayed and left for dead by their superiors, galvanizing them to mount an offensive on the CIA.",http://ia.media-imdb.com/images/M/MV5BMjU3MTU0NDI4Nl5BMl5BanBnXkFtZTcwMTE0NDMyMw@@._V1_SX300.jpg,23 Apr 2010,2010,The Losers
V for Vendetta,90,3.9,"Visually stunning and thought-provoking, V For Vendetta's political pronouncements may rile some, but its story and impressive set pieces will nevertheless entertain.",73,6.8,7 wins & 27 nominations.,tt0434409,8.2,62,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.",http://ia.media-imdb.com/images/M/MV5BOTI5ODc3NzExNV5BMl5BanBnXkFtZTcwNzYxNzQzMw@@._V1_SX300.jpg,17 Mar 2006,2005,V for Vendetta
Watchmen,70,3.4,"Gritty and visually striking, Watchmen is a faithful adaptation of Alan Moore's graphic novel, but its complex narrative structure may make it difficult for it to appeal to viewers not already familiar with the source material.",65,6.3,12 wins & 20 nominations.,tt0409459,7.6,56,"In a gritty and alternate 1985 the glory days of costumed vigilantes have been brought to a close by a government crackdown, but after one of the masked veterans is brutally murdered an investigation into the killer is initiated. The reunited heroes set out to prevent their own destruction, but in doing so discover a deeper and far more diabolical plot.",http://ia.media-imdb.com/images/M/MV5BMTc0NjI2OTYxMF5BMl5BanBnXkFtZTcwMTcxMjkyMg@@._V1_SX300.jpg,06 Mar 2009,2009,Watchmen
