RT_audience_perc,RT_audience_rating,RT_consensus,RT_perc,RT_rating,awards,imdb_id,imdb_rating,metascore,plot,poster,release_date,release_year,Title
Deadpool,91,4.3,"Fast, funny, and gleefully profane, the fourth-wall-busting Deadpool subverts superhero film formula with wildly entertaining -- and decidedly non-family-friendly -- results.",84,6.9,2 wins & 6 nominations.,tt1431045,8.2,65,"This is the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",http://ia.media-imdb.com/images/M/MV5BMjQyODg5Njc4N15BMl5BanBnXkFtZTgwMzExMjE3NzE@._V1_SX300.jpg,12 Feb 2016,2016,Deadpool
Elektra,30,2.6,"Jennifer Garner inhabits her role with earnest gusto, but Elektra's tone deaf script is too self-serious and bereft of intelligent dialogue to provide engaging thrills.",10,3.8,2 nominations.,tt0357277,4.8,34,"In the ultimate battle between good and evil stands a warrior who makes the choice that tips the balance. A strong, mysterious and a deadly sexy action heroine - a lethal synthesis of grace and power. Not long after recovering from seemingly mortal wounds, Elektra has severed all ties with the world, living only for her next assignment. But in an unexpected turn of events, she is forced to make a decision that can take her life in a new direction - or destroy her. Key players in Elektra's journey are Stick, a blind martial arts master responsible for Elektra's ""resurrection,"" and Mark Miller and Abby Miller, a father and daughter on the run from The Hand, a powerful syndicate whose members practice the dark version of the martial art Kimagure.",http://ia.media-imdb.com/images/M/MV5BMTk2MzEwNjEwNV5BMl5BanBnXkFtZTcwODczMDIzMw@@._V1_SX300.jpg,14 Jan 2005,2005,Elektra
Fantastic Four(2005),45,3.1,"Marred by goofy attempts at wit, subpar acting, and bland storytelling, Fantastic Four is a mediocre attempt to bring Marvel's oldest hero team to the big screen.",27,4.5,3 wins & 12 nominations.,tt0120667,5.7,40,"A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom.",http://ia.media-imdb.com/images/M/MV5BMTM1NTIwNjM4M15BMl5BanBnXkFtZTcwNDc2NjgyMQ@@._V1_SX300.jpg,08 Jul 2005,2005,Fantastic Four(2005)
Fantastic Four(2015),19,2.1,"Dull and downbeat, this Fantastic Four proves a woefully misguided attempt to translate a classic comic series without the humor, joy, or colorful thrills that made it great.",9,3.4,7 wins & 4 nominations.,tt1502712,4.3,27,"FANTASTIC FOUR, a contemporary re-imagining of Marvel's original and longest-running superhero team, centers on four young outsiders who teleport to an alternate and dangerous universe, which alters their physical form in shocking ways. Their lives irrevocably upended, the team must learn to harness their daunting new abilities and work together to save Earth from a former friend turned enemy.",http://ia.media-imdb.com/images/M/MV5BMTk0OTMyMDA0OF5BMl5BanBnXkFtZTgwMzY5NTkzNTE@._V1_SX300.jpg,07 Aug 2015,2015,Fantastic Four(2015)
Fantastic Four: Rise of the Silver Surfer,N/A,N/A,N/A,N/A,N/A,N/A,tt1027810,5.7,N/A,N/A,http://ia.media-imdb.com/images/M/MV5BMjExNzA3ODI2MF5BMl5BanBnXkFtZTgwODkxNTMyMTE@._V1_SX300.jpg,15 Jun 2007,2007,Fantastic Four: Rise of the Silver Surfer
Ghost Rider,48,3.1,"Ghost Rider is a sour mix of morose, glum histrionics amidst jokey puns and hammy dialogue.",26,4.2,8 nominations.,tt0259324,5.2,35,"When the motorcyclist Johnny Blaze finds that his father Barton Blaze has a terminal cancer, he accepts a pact with the Mephistopheles, giving his soul for the health of his beloved father. But the devil deceives him, and Barton dies in a motorcycle accident during an exhibition. Johnny leaves the carnival, his town, his friends and his girlfriend Roxanne. Years later Johnny Blaze becomes a famous motorcyclist, who risks his life in his shows, and he meets Roxanne again, now a TV reporter. However, Mephistopheles proposes Johnny to release his contract if he become the ""Ghost Rider"" and defeat his evil son Blackheart, who wants to possess one thousand evil souls and transform hell on earth.",http://ia.media-imdb.com/images/M/MV5BMzIyNDE5ODI1OV5BMl5BanBnXkFtZTcwNTIyNDE0MQ@@._V1_SX300.jpg,16 Feb 2007,2007,Ghost Rider
Ghost Rider: Spirit of Vengeance,32,2.6,"With a weak script, uneven CG work, and a Nic Cage performance so predictably loony it's no longer amusing, Ghost Rider: Spirit of Vengeance aims to be trashy fun but ends up as plain trash.",17,3.8,4 nominations.,tt1071875,4.3,32,"As Johnny Blaze hides out in Eastern Europe, he is called upon to stop the devil, who is trying to take human form.",http://ia.media-imdb.com/images/M/MV5BMTkwNDM5MDEzOF5BMl5BanBnXkFtZTcwNDEyNTUxNw@@._V1_SX300.jpg,17 Feb 2012,2011,Ghost Rider: Spirit of Vengeance
Guardians of the Galaxy,92,4.4,"Guardians of the Galaxy is just as irreverent as fans of the frequently zany Marvel comic would expect -- as well as funny, thrilling, full of heart, and packed with visual splendor.",91,7.7,Nominated for 2 Oscars. Another 48 wins & 92 nominations.,tt2015381,8.1,76,"After stealing a mysterious orb in the far reaches of outer space, Peter Quill from Earth, is now the main target of a manhunt led by the villain known as Ronan the Accuser. To help fight Ronan and his team and save the galaxy from his power, Quill creates a team of space heroes known as the ""Guardians of the Galaxy"" to save the world.",http://ia.media-imdb.com/images/M/MV5BMTAwMjU5OTgxNjZeQTJeQWpwZ15BbWU4MDUxNDYxODEx._V1_SX300.jpg,01 Aug 2014,2014,Guardians of the Galaxy
Howard The Duck,38,2.6,"While it has its moments, Howard the Duck suffers from an uneven tone and mediocre performances.",13,2.5,5 wins & 4 nominations.,tt0091225,4.6,N/A,A scientific experiment unknowingly brings extraterrestrial life forms to the Earth through a laser beam. First is the cigar smoking drake Howard from the duck's planet. A few kids try to keep him from the greedy scientists and help him back to his planet. But then a much less friendly being arrives through the beam...,http://ia.media-imdb.com/images/M/MV5BMTk2MzczNjA0Ml5BMl5BanBnXkFtZTYwMTI2MTQ5._V1_SX300.jpg,01 Aug 1986,1986,Howard The Duck
Hulk,29,2.5,"While Ang Lee's ambitious film earns marks for style and an attempt at dramatic depth, there's ultimately too much talking and not enough smashing.",61,6.2,2 wins & 10 nominations.,tt0286716,5.7,54,"Bruce Banner, a brilliant scientist with a cloudy past about his family, is involved in an accident in his laboratory causing him to become exposed to gamma radiation and Nanomeds (A tiny life-form that is supposed to heal wounds but has killed everything with which they have made contact). Confused and curious about his survival, Banner discovers that since the accident, whenever he becomes angry he transforms into a giant green monster destroying everything in sight in an act of fury. Bruce's mysterious past and the answer to why the radiation had this effect becomes revealed to him as his Birth Father David Banner intervenes with hopes to continue experimenting on him.",http://ia.media-imdb.com/images/M/MV5BMTQxNzUxNTE4Nl5BMl5BanBnXkFtZTYwMjcyNTk5._V1_SX300.jpg,20 Jun 2003,2003,Hulk
Iron Man,91,4.2,"Director Jon Favreau and star Robert Downey Jr. make this smart, high impact superhero movie one that even non-comics fans can enjoy.",94,7.7,Nominated for 2 Oscars. Another 19 wins & 61 nominations.,tt0371746,7.9,79,"Tony Stark. Genius, billionaire, playboy, philanthropist. Son of legendary inventor and weapons contractor Howard Stark. When Tony Stark is assigned to give a weapons presentation to an Iraqi unit led by Lt. Col. James Rhodes, he's given a ride on enemy lines. That ride ends badly when Stark's Humvee that he's riding in is attacked by enemy combatants. He survives - barely - with a chest full of shrapnel and a car battery attached to his heart. In order to survive he comes up with a way to miniaturize the battery and figures out that the battery can power something else. Thus Iron Man is born. He uses the primitive device to escape from the cave in Iraq. Once back home, he then begins work on perfecting the Iron Man suit. But the man who was put in charge of Stark Industries has plans of his own to take over Tony's technology for other matters.",http://ia.media-imdb.com/images/M/MV5BMTczNTI2ODUwOF5BMl5BanBnXkFtZTcwMTU0NTIzMw@@._V1_SX300.jpg,02 May 2008,2008,Iron Man
Iron Man 2,72,3.7,"It isn't quite the breath of fresh air that Iron Man was, but this sequel comes close with solid performances and an action-packed plot.",72,6.5,Nominated for 1 Oscar. Another 7 wins & 40 nominations.,tt1228705,7.0,57,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press, and the public to share his technology with the military. Unwilling to let go of his invention, Stark, along with Pepper Potts, and James ""Rhodey"" Rhodes at his side, must forge new alliances - and confront powerful enemies.",http://ia.media-imdb.com/images/M/MV5BMTM0MDgwNjMyMl5BMl5BanBnXkFtZTcwNTg3NzAzMw@@._V1_SX300.jpg,07 May 2010,2010,Iron Man 2
Iron Man 3,79,4.0,"With the help of its charismatic lead, some impressive action sequences, and even a few surprises, Iron Man 3 is a witty, entertaining adventure and a strong addition to the Marvel canon.",79,7.0,Nominated for 1 Oscar. Another 17 wins & 53 nominations.,tt1300854,7.3,62,"Marvel's ""Iron Man 3"" pits brash-but-brilliant industrialist Tony Stark/Iron Man against an enemy whose reach knows no bounds. When Stark finds his personal world destroyed at his enemy's hands, he embarks on a harrowing quest to find those responsible. This journey, at every turn, will test his mettle. With his back against the wall, Stark is left to survive by his own devices, relying on his ingenuity and instincts to protect those closest to him. As he fights his way back, Stark discovers the answer to the question that has secretly haunted him: does the man make the suit or does the suit make the man?",http://ia.media-imdb.com/images/M/MV5BMTkzMjEzMjY1M15BMl5BanBnXkFtZTcwNTMxOTYyOQ@@._V1_SX300.jpg,03 May 2013,2013,Iron Man 3
Marvel's The Avengers,91,4.4,"Thanks to a script that emphasizes its heroes' humanity and a wealth of superpowered set pieces, The Avengers lives up to its hype and raises the bar for Marvel at the movies.",92,8.0,Nominated for 1 Oscar. Another 36 wins & 78 nominations.,tt0848228,8.1,69,Earth's mightiest heroes must come together and learn to fight as a team if they are to stop the mischievous Loki and his alien army from enslaving humanity.,http://ia.media-imdb.com/images/M/MV5BMTk2NTI1MTU4N15BMl5BanBnXkFtZTcwODg0OTY0Nw@@._V1_SX300.jpg,04 May 2012,2012,Marvel's The Avengers
Punisher: War Zone,42,3.0,"Punisher: War Zone recalls the excessively violent, dialogue-challenged actioners of the 1980s, and coincidentally feels two decades out of date.",27,4.2,1 win & 1 nomination.,tt0450314,6.0,30,"Frank Castle, the ex-military man whose family was killed by criminals, who became a vigilante known as the Punisher, goes after a whole mob family and gets everyone except enforcer Billy Russoti. He tracks Russoti down and chases him into a vat that is used for crushing bottles. Frank turns on the crusher hoping it would take care of him but it doesn't. He survives but sustains very severe injuries that even with plastic surgery his face looks like a jigsaw puzzle. So he decides to adopt the name Jigsaw. Frank who killed one of Russoti's people who unknown to him is an undercover Fed, decides to pack it in. But when he learns Russoti didn't die and is looking for the money he entrusted to the Fed and will go looking for it at his home which means his family is in danger. So Frank tries to save them. But Russoti wants revenge on Frank so he breaks out his brother who is so crazed that he is committed to an asylum, to deal with him. And also another Fed who's a friend of the man Frank killed wants him too.",http://ia.media-imdb.com/images/M/MV5BMTM4OTQyODk0NF5BMl5BanBnXkFtZTcwMzQwNDQwMg@@._V1_SX300.jpg,05 Dec 2008,2008,Punisher: War Zone
Spider-Man,67,3.3,"Not only does Spider-Man provide a good dose of web-swinging fun, it also has a heart, thanks to the combined charms of director Sam Raimi and star Tobey Maguire.",89,7.6,Nominated for 2 Oscars. Another 14 wins & 56 nominations.,tt0145487,7.3,73,"When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.",http://ia.media-imdb.com/images/M/MV5BMzk3MTE5MDU5NV5BMl5BanBnXkFtZTYwMjY3NTY3._V1_SX300.jpg,03 May 2002,2002,Spider-Man
Spider-Man 2,81,3.5,"Boasting an entertaining villain and deeper emotional focus, this is a nimble sequel that improves upon the original.",93,8.3,Won 1 Oscar. Another 23 wins & 54 nominations.,tt0316654,7.3,83,"Peter Parker is an unhappy man: after two years of fighting crime as Spider-Man, his life has begun to fall apart. The girl he loves is engaged to someone else, his grades are slipping, he cannot keep any of his jobs, and on top of it, the newspaper Daily Bugle is attacking him viciously, claiming that Spider-Man is a criminal. He reaches the breaking point and gives up the crime fighter's life, once and for all. But after a failed fusion experiment, eccentric and obsessive scientist Dr. Otto Octavius is transformed into super villain Doctor Octopus, Doc Ock for short, having four long tentacles as extra hands. Peter guesses it might just be time for Spider-Man to return, but would he act upon it?",http://ia.media-imdb.com/images/M/MV5BMjE0Njc1NDYzN15BMl5BanBnXkFtZTcwNjAxMzYyMQ@@._V1_SX300.jpg,30 Jun 2004,2004,Spider-Man 2
Spider-Man 3,51,3.3,"Though there are more characters and plotlines, and the action sequences still dazzle, Spider-Man 3 nonetheless isn't quite as refined as the first two.",62,6.2,Nominated for 1 BAFTA Film Award. Another 3 wins & 31 nominations.,tt0413300,6.2,59,"Peter Parker has finally managed to piece together the once-broken parts of his life, maintaining a balance between his relationship with Mary-Jane and his responsibility as Spider-Man. But more challenges arise for our young hero. Peter's old friend Harry Obsourne has set out for revenge against Peter; taking up the mantle of his late father's persona as The New Goblin, and Peter must also capture Uncle Ben's real killer, Flint Marko, who has been transformed into his toughest foe yet, the Sandman. All hope seems lost when suddenly Peter's suit turns jet-black and greatly amplifies his powers. But it also begins to greatly amplify the much darker qualities of Peter's personality that he begins to lose himself to. Peter has to reach deep inside himself to free the compassionate hero he used to be if he is to ever conquer the darkness within and face not only his greatest enemies, but also...himself.",http://ia.media-imdb.com/images/M/MV5BODUwMDc5Mzc5M15BMl5BanBnXkFtZTcwNDgzOTY0MQ@@._V1_SX300.jpg,04 May 2007,2007,Spider-Man 3
The Amazing Spider-Man,77,3.9,"A well-chosen cast and sure-handed direction allow The Amazing Spider-Man to thrill, despite revisiting many of the same plot points from 2002's Spider-Man.",73,6.7,2 wins & 31 nominations.,tt0948470,7.0,66,"Peter Parker (Garfield) is an outcast high schooler who was abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben (Sheen) and Aunt May (Field). Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. Peter is also finding his way with his first high school crush, Gwen Stacy (Stone), and together, they struggle with love, commitment, and secrets. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance - leading him directly to Oscorp and the lab of Dr. Curt Connors (Ifans), his father's former partner. As Spider-Man is set on a collision course with Connors' alter-ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",http://ia.media-imdb.com/images/M/MV5BMjMyOTM4MDMxNV5BMl5BanBnXkFtZTcwNjIyNzExOA@@._V1_SX300.jpg,03 Jul 2012,2012,The Amazing Spider-Man
The Amazing Spider-Man 2,65,3.6,"While the cast is outstanding and the special effects are top-notch, the latest installment of the Spidey saga suffers from an unfocused narrative and an overabundance of characters.",53,5.9,3 wins & 29 nominations.,tt1872181,6.8,53,"We've always known that Spider-Man's most important conflict has been within himself: the struggle between the ordinary obligations of Peter Parker and the extraordinary responsibilities of Spider-Man. But in The Amazing Spider-Man 2, Peter Parker finds that his greatest battle is about to begin. It's great to be Spider-Man. For Peter Parker, there's no feeling quite like swinging between skyscrapers, embracing being the hero, and spending time with Gwen. But being Spider-Man comes at a price: only Spider-Man can protect his fellow New Yorkers from the formidable villains that threaten the city. With the emergence of Electro, Peter must confront a foe far more powerful than he. And as his old friend, Harry Osborn, returns, Peter comes to realize that all of his enemies have one thing in common: Oscorp.",http://ia.media-imdb.com/images/M/MV5BOTA5NDYxNTg0OV5BMl5BanBnXkFtZTgwODE5NzU1MTE@._V1_SX300.jpg,02 May 2014,2014,The Amazing Spider-Man 2
The Incredible Hulk,71,3.6,"The Incredible Hulk may not be quite the smashing success that fans of Marvel's raging behemoth might hope for, but it offers more than enough big green action to make up for its occasionally puny narrative.",67,6.2,1 win & 8 nominations.,tt0800080,6.8,61,"Depicting the events after the Gamma Bomb. 'The Incredible Hulk' tells the story of Dr Bruce Banner, who seeks a cure to his unique condition, which causes him to turn into a giant green monster under emotional stress. Whilst on the run from military which seeks his capture, Banner comes close to a cure. But all is lost when a new creature emerges; The Abomination.",http://ia.media-imdb.com/images/M/MV5BMTUyNzk3MjA1OF5BMl5BanBnXkFtZTcwMTE1Njg2MQ@@._V1_SX300.jpg,13 Jun 2008,2008,The Incredible Hulk
The Punisher,63,3.2,A good cast fails to elevate this overly violent and by-the-numbers revenge flick.,29,4.5,1 win & 5 nominations.,tt0330793,6.5,33,"Special agent Frank Castle had it all: A loving family, a great life, and an adventurous job. But when his life is taken away from him by a ruthless criminal and his associates, Frank has become reborn. Now serving as judge, jury, and executioner, he's a new kind of vigilante out to wage a one man war against those who have done him wrong.",http://ia.media-imdb.com/images/M/MV5BMjI5NjcwMTQxMV5BMl5BanBnXkFtZTcwODg5ODkwNQ@@._V1_SX300.jpg,16 Apr 2004,2004,The Punisher
The Wolverine,69,3.7,"Although its final act succumbs to the usual cartoonish antics, The Wolverine is one superhero movie that manages to stay true to the comics while keeping casual viewers entertained.",69,6.3,2 wins & 10 nominations.,tt1430132,6.7,60,"In modern day Japan, Wolverine is out of his depth in an unknown world as he faces his ultimate nemesis in a life-or-death battle that will leave him forever changed. Vulnerable for the first time and pushed to his physical and emotional limits, he confronts not only lethal samurai steel but also his inner struggle against his own immortality, emerging more powerful than we have ever seen him before.",http://ia.media-imdb.com/images/M/MV5BNzg1MDQxMTQ2OF5BMl5BanBnXkFtZTcwMTk3MjAzOQ@@._V1_SX300.jpg,26 Jul 2013,2013,The Wolverine
Thor,76,3.8,"A dazzling blockbuster that tempers its sweeping scope with wit, humor, and human drama, Thor is mighty Marvel entertainment.",77,6.7,5 wins & 29 nominations.,tt0800369,7.0,57,"The warrior Thor (Hemsworth) is cast out of the fantastic realm of Asgard by his father Odin (Hopkins) for his arrogance and sent to Earth to live among humans. Falling in love with scientist Jane Foster (Portman) teaches Thor much-needed lessons, and his new-found strength comes into play as a villain from his homeland sends dark forces toward Earth.",http://ia.media-imdb.com/images/M/MV5BMTYxMjA5NDMzNV5BMl5BanBnXkFtZTcwOTk2Mjk3NA@@._V1_SX300.jpg,06 May 2011,2011,Thor
Thor: The Dark World,78,3.9,"It may not be the finest film to come from the Marvel Universe, but Thor: The Dark World still offers plenty of the humor and high-stakes action that fans have come to expect.",66,6.2,2 wins & 18 nominations.,tt1981115,7.1,54,"Thousands of years ago, a race of beings known as Dark Elves tried to send the universe into darkness by using a weapon known as the Aether. Warriors from Asgard stop them but their leader Malekith escapes to wait for another opportunity. The warriors find the Aether and since it cannot be destroyed, they try to hide it. In the present day, Jane Foster awaits the return of Thor although it has been two years since they last saw once another. In the meantime, Thor has been trying to bring peace to the nine realms. Jane discovers an anomaly similar to the one that brought Thor to Earth. She goes to investigate, finds a wormhole, and is sucked into it. Back on Asgard, Thor wishes to return to Earth but his father, Odin refuses to let him. Thor learns from Heimdall, who can see into all of the realms, that Jane disappeared. Thor then returns to Earth just as Jane reappears. However, when some policemen try to arrest her, an unknown energy repulses them. Thor then brings Jane to Asgard to find out what happened to her. When the energy is released again, they discover that when Jane disappeared, she crossed paths with the Aether and it entered her. Malekith, upon sensing that the time to strike is now, seeks out the Aether. He attacks Asgard and Thor's mother Frigga is killed protecting Jane. Odin wants to keep Jane on Asgard so that Malekith will come. Thor disagrees with his plan, so with his cohorts, he decides to take Jane away. He enlists the aid of his brother, Loki. Unfortunately, Loki's motivations remain unknown.",http://ia.media-imdb.com/images/M/MV5BMTQyNzAwOTUxOF5BMl5BanBnXkFtZTcwMTE0OTc5OQ@@._V1_SX300.jpg,08 Nov 2013,2013,Thor 2: The Dark World
